carat,price
0.34,765
0.23,530
0.73,2879
1.04,5017
0.72,2907
0.32,421
2.01,10711
0.52,1338
0.31,462
1.01,3280
1.09,10663
1.16,5366
1,4568
0.23,530
0.24,554
1,4788
1.02,5484
1,3584
0.3,605
0.58,3154
0.35,921
0.36,607
1.01,4680
0.59,1572
1,6867
0.4,720
0.51,2096
0.92,4247
0.33,955
0.4,814
0.7,2877
0.51,1574
0.91,4257
1.01,6516
1,7343
0.4,1238
0.3,684
0.52,1125
1.53,13423
1.62,11427
1.21,4740
1.07,8145
0.41,1061
1.24,5382
1.02,4113
1.51,8287
0.38,855
0.32,1080
1.22,6121
1.15,5120
0.4,737
0.72,3274
1.77,13085
1.18,6378
2,13007
0.43,943
0.53,1607
0.31,523
1.07,6730
0.37,815
0.92,3891
0.73,2835
0.36,776
1.07,4564
0.31,942
0.53,1020
0.41,969
0.71,2423
2.02,12108
0.51,1359
0.29,384
0.33,660
0.73,2770
0.32,648
0.34,765
0.71,2313
1.01,3895
1.01,5050
1.02,4827
0.32,720
0.71,2397
1,10058
0.37,747
0.37,681
1.55,13171
0.7,2339
0.31,583
0.54,2210
0.41,1061
0.38,1257
1.08,4814
0.36,505
2.06,16512
0.39,902
1.06,5549
1.21,9484
2.02,13687
1.51,7678
0.32,708
1.23,5504
0.23,425
0.84,2885
0.31,656
1.58,10738
2.14,14065
0.32,466
0.91,9636
0.4,822
0.52,1121
0.51,1656
1.21,5572
0.3,844
0.71,1435
0.73,2431
0.7,2312
0.38,879
1,3265
0.52,1138
0.71,2173
0.31,853
0.52,2164
0.76,3107
0.5,1623
1.34,5335
1,7260
0.31,586
0.53,1023
0.33,572
0.73,2843
0.33,1002
0.91,3196
0.31,786
0.9,3770
0.37,746
0.74,3593
0.77,3702
1.7,18342
0.3,552
0.9,3902
0.37,931
2.2,14691
1.7,17323
0.9,4269
0.77,3011
0.5,1317
1.04,6206
1.32,10631
1.01,4989
0.33,802
0.56,2057
1.22,7201
1.04,6694
0.55,1856
1.21,5889
0.3,673
1.01,7412
1.69,13645
0.51,1787
0.57,1364
0.74,2277
0.4,924
1.01,4416
0.57,1720
0.36,851
1.5,9768
0.71,2913
0.9,3534
1.01,4327
0.34,689
0.41,1238
1.13,5412
0.38,844
0.54,1889
0.7,1890
0.31,872
0.77,2788
1.47,6403
1.27,5442
0.55,1675
0.35,829
1.02,3534
1.19,10436
1.2,6350
1.5,10038
0.7,2695
0.28,467
0.71,3146
2.22,16398
1.07,5065
0.96,3876
1.41,7738
1.15,6917
0.52,950
0.54,1955
0.37,1041
1.52,13034
0.35,788
1.63,11019
0.33,521
0.4,705
1.04,3203
0.27,646
1.03,3617
2.47,15430
1.01,6439
1.18,6743
0.87,3566
0.71,4042
0.32,842
0.5,1054
0.7,2106
1.51,12489
1.03,9236
0.91,3181
1.3,10930
1.33,6442
0.7,2079
0.36,568
1.5,13537
2.1,18124
1.05,4692
0.57,2485
0.9,3084
1.57,10633
0.4,864
1.01,4129
0.35,491
0.84,2573
1,5880
1.43,11302
0.51,1264
1.01,6288
0.79,3710
1.09,4639
0.53,1914
1.51,9513
2.03,14548
0.71,2386
0.37,876
0.36,912
1.01,5078
0.33,1114
0.5,1395
0.31,698
0.7,3068
0.41,1015
0.25,526
1.11,5192
0.91,4770
0.51,1750
0.71,2633
1.01,6097
1.2,6423
1.53,13994
0.75,2871
0.38,1211
0.55,3006
0.31,640
0.83,3775
1.2,3965
0.32,814
1.08,7925
0.34,805
1.47,8314
1,3858
1.52,9014
1.01,5067
1.77,14561
0.41,969
0.32,842
0.57,1397
1.11,9299
0.61,2373
2.19,18067
0.42,847
0.7,2083
0.74,2855
0.7,2224
1.01,9965
0.83,3408
1.01,6996
0.3,684
1.58,13557
0.3,878
0.65,1276
0.93,4163
1.19,4078
0.34,959
0.37,1033
1.02,3298
0.31,840
0.51,1193
0.71,2930
0.43,1433
1.71,11104
1.2,9609
0.51,1205
0.27,449
0.9,4502
0.8,2553
0.5,1073
0.62,1616
0.54,1389
1.87,17761
0.41,755
0.71,2780
1.01,2416
0.41,827
0.33,1114
0.32,564
0.78,2799
0.31,871
0.7,2016
0.4,699
0.34,967
0.33,705
0.76,2338
0.44,987
0.37,1041
1.5,10692
1.51,9352
1.01,4672
1.69,11086
1.23,5407
0.3,911
0.36,648
0.24,478
0.31,942
1.06,6863
0.41,1153
0.42,984
1.53,8095
0.65,1659
1.67,10165
0.41,1007
2.01,14745
1.18,3925
0.48,972
0.51,1546
0.52,1840
1.5,7291
0.3,605
0.51,1970
0.23,583
0.54,1660
0.26,524
0.4,1397
0.53,1740
1.05,2705
0.71,2547
1.21,4631
0.33,891
0.36,729
1.27,6543
0.5,1845
0.34,571
0.4,975
0.4,907
0.27,623
1.05,4292
2,11544
0.32,954
1.04,5416
0.34,626
1.51,7766
0.52,1594
1.3,5438
0.56,1811
0.34,765
0.71,2681
0.4,737
0.52,1035
0.51,1308
0.58,1569
1.16,9023
1.06,4162
2.04,16872
0.4,1088
0.54,1988
1.01,5519
1.08,6203
1.54,11769
0.51,2093
1.11,6713
0.51,983
0.31,816
0.58,2078
1,3304
0.41,797
1.01,4355
0.4,725
1.12,4986
0.5,1746
0.54,1939
0.44,772
0.53,1255
0.77,3241
0.4,882
0.33,1010
1.01,4916
0.82,2908
1,4389
1.01,6066
0.78,2312
0.31,907
0.73,2679
0.5,1624
0.39,1088
0.35,1001
1.04,3588
0.9,4593
1.23,5641
1.16,5260
0.56,1755
0.66,2648
1.61,11220
0.36,794
1.08,4633
0.56,1755
0.24,485
0.3,554
0.7,2010
0.41,846
0.7,2838
1.03,6659
0.33,666
0.41,1107
2.2,11147
0.33,521
0.7,2496
0.4,612
0.32,972
1.57,13462
0.7,2553
1.21,9779
2.02,13117
1.01,8532
0.31,802
0.35,601
3,8044
0.56,1653
0.91,5033
1.25,8099
1.13,13485
1.55,8981
1.59,8814
0.72,2954
0.52,1911
1,2717
0.34,1148
1,5544
0.43,1234
1.22,6947
1.01,7785
1.19,4332
1.06,6055
0.33,480
1.18,7439
0.54,1356
0.7,2966
1.16,4820
0.31,891
0.52,1413
0.37,1233
0.33,579
1.16,4307
1.89,10055
0.3,1041
0.42,700
0.31,628
1.63,13555
0.72,2886
0.7,2415
0.44,1348
1.23,6509
0.57,1754
0.44,1155
0.25,450
1.13,5280
1.27,3732
1.01,7179
0.32,432
0.92,4232
1.13,9049
0.72,1941
1.22,5739
0.78,2970
0.31,593
0.7,2507
1.01,5303
0.3,658
0.71,2771
0.77,3108
0.42,1024
0.3,735
1.7,16240
0.31,930
0.42,847
1.51,14507
0.86,3082
0.32,524
1,4452
0.5,1415
1.01,6037
0.3,574
1.01,8579
1.02,5424
0.43,789
1.15,6492
0.96,2540
0.27,620
0.57,1942
0.91,3762
0.52,1701
1.04,4200
0.31,816
0.34,596
0.74,4383
2.01,10490
0.37,616
2.01,15841
0.9,3871
0.3,684
0.56,2260
0.52,2302
1.12,7495
1.72,8630
0.4,596
0.59,1643
0.44,1040
0.41,791
2.24,11970
0.59,1330
0.84,6399
1.21,5893
1.73,9510
1.01,3767
1,4042
0.9,3908
0.6,2189
1.02,5951
1.21,4946
1.47,6763
1.26,5983
0.36,689
0.91,4609
0.51,1343
0.35,906
1.5,7972
0.3,731
0.52,1261
0.28,429
0.9,4128
1.7,10002
0.31,683
0.41,969
0.32,645
0.43,742
0.31,821
0.31,628
0.43,792
0.9,4092
0.9,3704
0.49,1084
1.02,4907
0.51,1343
0.31,1075
0.33,781
1.01,5028
0.5,2018
1,6449
0.42,773
1,5051
0.29,504
0.71,2258
0.53,1821
0.7,3087
0.54,1754
0.71,1832
0.32,1008
2.08,13038
0.39,1009
1.32,13261
0.34,995
1.02,9645
0.9,4409
0.52,1306
1.1,4640
0.4,772
0.31,642
0.3,500
0.33,743
0.81,3193
0.91,4211
0.4,1136
1.1,4928
0.7,3375
1.01,6499
1.24,10724
0.38,685
1.63,7302
0.25,576
3.24,12300
0.33,579
0.55,1698
0.65,2406
0.54,1724
0.3,489
1.02,4583
0.28,642
0.55,1415
1.01,7466
0.52,1401
0.7,1974
0.3,675
0.3,764
0.9,3455
0.7,2396
0.3,984
0.51,1998
0.54,1292
0.3,552
1.14,5174
0.58,2421
0.7,2478
0.32,672
0.53,1813
1.09,4591
1.7,7464
0.57,1817
1.4,6147
0.3,878
1.64,7409
0.71,1881
1,7572
0.9,3160
0.31,625
1.11,4538
0.55,1792
2.1,16506
1.01,4605
0.5,2016
1.12,6774
0.99,2949
1,6047
0.25,409
0.51,1098
0.77,4399
0.7,2318
0.74,2761
0.41,923
0.53,2147
1.06,5354
1.22,4969
0.54,2231
1.59,9304
0.7,3061
0.31,544
0.73,2184
0.43,867
1.71,18599
0.38,727
1.01,5210
1.51,10959
0.91,3195
1.13,4998
1.27,5405
0.38,705
1.7,5998
0.42,626
0.36,851
0.4,1111
1.02,3342
0.53,1335
1,8602
0.64,2215
0.32,589
1,4015
0.3,555
0.72,2136
1.24,6383
0.9,3604
0.27,496
1.59,13631
0.52,1887
0.3,407
0.55,1551
1.01,5090
0.9,3734
0.49,1190
1.07,4413
0.53,1558
0.35,1254
0.41,904
0.7,2196
0.54,2356
0.5,1400
1.24,5836
0.7,2862
1.04,4892
0.94,4817
0.7,2759
0.3,1041
1,4333
0.42,838
0.32,1020
0.91,4183
1.07,4314
0.59,1445
0.45,1154
0.52,1289
0.4,877
0.92,3817
0.91,2981
1,5865
2.04,16319
1.07,7577
0.5,1155
0.3,742
0.26,769
0.41,969
0.42,1013
0.52,1767
0.52,1651
0.29,426
0.51,1438
0.45,756
0.38,818
0.31,907
0.32,612
1.21,8969
0.4,814
1.28,6210
0.31,544
1,5488
0.32,523
0.3,911
0.31,816
0.31,625
0.7,2489
0.7,3191
0.24,552
0.52,1699
1.14,5937
1.71,14882
0.5,1679
2.01,13498
0.7,2812
1.22,5165
1.7,12833
0.41,827
0.7,3517
1,9139
0.7,2075
1.51,15420
0.41,1192
1,4036
1.27,9371
0.27,498
0.35,1024
1.6,8904
0.7,2662
0.33,1114
0.57,1262
1.61,6915
1.35,7549
0.44,1119
0.5,1603
0.74,2956
0.74,2106
1.18,5190
0.32,720
1.04,5805
0.44,1194
1.01,5186
0.52,1991
0.41,827
0.23,485
0.55,1272
0.7,1069
2.12,12693
0.3,564
0.92,3400
0.71,2416
0.5,1676
0.42,700
1.03,3743
0.7,2042
1.06,5020
1,3920
0.7,2838
0.4,855
0.38,693
1,4676
0.31,761
0.27,704
0.87,3372
1.07,4126
0.57,1113
0.43,1183
0.34,596
2.01,17555
0.33,984
0.79,2831
0.35,706
0.5,1304
1.01,3439
1.11,4457
1,4975
0.9,2245
0.52,1936
0.4,1125
1.62,13177
1.55,13421
0.31,734
1.21,6418
0.55,1698
0.34,765
0.3,764
1,3265
1,4172
1,6290
0.7,2407
0.54,1555
0.8,3622
0.64,3541
0.5,1125
0.33,666
0.32,720
1.73,8703
0.79,4490
1.01,4179
0.54,1786
0.98,4623
0.51,1702
0.3,1114
0.51,1687
2.14,18528
1.51,5327
0.81,2604
0.3,552
0.52,1815
0.43,948
0.56,1094
1.18,6542
0.37,603
0.4,883
1.55,15512
0.72,2608
0.7,3310
0.33,743
0.32,1116
1.02,4162
0.91,4201
0.5,1231
0.9,3437
0.79,2362
1.02,3754
0.7,2313
0.33,631
0.3,844
0.53,1692
0.41,605
1.37,5370
0.57,929
0.71,2315
0.32,576
0.7,2376
0.42,1307
1.49,18614
0.41,915
0.3,789
1.06,4785
0.41,899
0.51,2093
0.51,1916
0.9,3748
0.31,816
0.33,694
0.3,447
1.01,3477
1.12,5266
0.52,1292
0.3,422
0.51,1678
2.2,17460
1.05,4739
1.1,11233
0.32,449
0.5,1323
0.41,999
1.52,7559
0.3,764
0.77,2257
1.51,9344
1.5,11508
0.44,694
1.01,5383
0.9,3718
1.57,10447
1.07,6685
0.41,1187
0.73,3595
1.07,5033
1.41,7636
0.5,1838
0.31,652
0.32,528
0.56,1206
0.44,1040
0.73,2770
0.33,855
1.2,5140
0.31,871
0.71,1696
0.73,3209
0.5,1354
1.56,10331
1,4808
1.7,18107
0.43,921
1.35,4643
1.06,8415
0.31,891
0.7,3199
0.7,2777
0.3,776
0.32,1080
1.91,10937
0.9,3629
1.21,10568
0.32,665
1.09,4322
0.7,2682
0.8,2623
1.01,6968
0.72,2372
0.31,609
0.32,954
0.8,2918
0.7,1625
0.41,994
1.52,6367
0.42,1103
1.09,5358
0.58,1600
1.52,7582
0.3,851
0.4,810
0.72,3024
1.11,4771
1.26,9078
0.32,477
0.34,686
1.5,9926
0.25,576
0.35,491
0.36,770
0.31,808
1.02,4303
1.51,8283
0.31,802
0.53,1122
1.58,11419
0.5,1436
0.51,1104
0.73,1699
0.9,3246
1.23,11382
1.23,6681
1.07,4955
1.54,9193
1.02,4227
0.52,2301
0.34,454
0.62,1927
0.4,882
0.52,1842
2.34,11119
0.3,1013
1.07,7550
2.51,17452
0.46,918
0.42,847
0.32,449
1.04,10787
1.5,10543
0.32,972
0.39,1300
0.24,391
0.31,914
1.36,6626
0.41,969
0.75,2749
1.16,5171
1,4649
0.33,984
0.57,1883
1.1,5545
0.4,810
0.41,827
0.3,844
1.03,5924
0.3,574
0.77,2789
0.5,1447
0.31,680
0.51,1406
1.21,5407
1.09,11846
1.6,7983
0.9,3368
0.32,793
0.75,2274
0.43,858
1.03,4900
0.3,526
1.56,11299
0.7,3234
0.3,752
0.33,965
0.49,1246
0.3,477
0.32,828
0.71,2965
1.35,5715
1.03,6241
0.74,2042
1.27,6858
0.32,943
0.51,1656
0.9,4155
0.35,760
0.71,2024
0.3,552
0.38,733
1.3,6443
0.85,3766
0.23,571
0.32,645
0.31,1046
0.5,1746
1.21,10256
1.16,5908
0.51,1875
0.7,3376
0.92,5243
0.56,1441
0.71,2141
1.03,5206
0.25,633
1.06,5258
0.51,1752
0.53,1956
0.71,3710
0.32,730
1,4435
0.65,3023
0.81,2199
1.03,8623
0.35,788
0.55,1448
0.5,1000
0.4,736
1.03,4503
0.37,1166
1.25,10640
1,5292
0.23,505
0.32,1080
1,7177
1.51,8444
0.93,4527
0.71,2823
1.21,10245
0.54,1754
0.75,2964
0.31,1168
0.3,710
1.1,4545
1.72,8688
0.38,1176
0.71,2651
0.41,904
1.07,6459
1.2,5376
1.02,3998
0.9,3107
0.32,828
0.32,702
0.4,849
0.6,2105
0.76,2894
0.9,4328
0.47,1163
1.51,7441
1.01,3801
1.22,5966
2.09,13864
0.39,988
0.72,2943
0.51,1340
0.71,2877
0.77,3148
2.09,17840
1.28,6308
0.3,605
0.63,2404
2.01,11703
0.35,715
0.9,3334
0.9,2344
0.36,852
0.55,1902
1.11,4581
0.61,2306
1.01,4054
0.88,2882
0.7,3662
0.57,2217
0.8,4043
0.32,730
0.32,645
1.51,8210
0.38,610
0.41,818
0.31,891
0.33,450
0.83,3482
0.7,2351
0.33,743
0.26,777
0.81,2714
0.73,1628
0.72,3550
1.15,12895
0.39,878
0.43,1169
1.24,4854
0.3,658
0.5,2105
0.7,2150
1.01,8647
0.58,1899
1.5,9072
0.91,3898
0.91,3506
1.16,5411
1.02,3857
0.73,2255
0.3,665
2.08,14947
0.55,1551
0.4,1158
0.41,852
0.28,503
0.9,5013
0.43,1056
0.91,2803
1.15,4838
0.51,1421
0.44,1235
0.8,2229
1.02,4459
1.02,7129
0.7,2398
0.4,516
0.3,886
0.3,895
0.27,752
0.71,2619
0.54,1696
1.07,4840
0.3,684
0.33,666
0.36,835
1.02,8940
0.78,4336
0.35,709
1.26,6733
0.3,789
0.61,1719
0.27,432
0.32,918
0.57,1397
0.23,462
0.71,3371
1.01,5694
0.38,778
0.9,4724
0.7,2909
0.53,984
1.01,5416
0.34,956
1.05,3528
0.74,2489
0.59,2155
1.5,8190
0.33,693
1,5122
0.3,814
0.9,2860
1.2,9625
1.6,17050
0.3,665
0.3,605
1.16,4612
0.91,4914
0.34,589
0.36,770
0.3,541
0.54,1637
1.19,3665
0.35,1028
1.66,12244
0.7,3004
0.41,827
0.73,2032
1.51,12437
0.3,605
1.11,4102
1,3080
1.17,5012
0.31,544
1.31,8774
1,1681
1.21,11455
0.9,4838
0.83,3250
0.97,4900
0.3,720
0.54,1013
0.3,673
0.4,765
0.3,605
0.32,730
0.3,411
0.43,919
0.52,1815
0.56,2429
0.32,918
0.53,1132
1.35,8256
0.36,1029
0.32,720
0.41,1180
1.02,3521
2.01,16733
0.55,1746
0.4,1158
0.37,983
0.52,1847
1.01,4244
1.11,5015
0.32,576
0.72,2131
1.05,5592
0.49,1174
1.05,8022
1.08,5141
0.32,645
0.43,1580
0.79,2346
0.32,645
1,6389
2.02,15848
0.34,803
2,12210
0.7,4246
0.34,612
2.14,15931
0.54,1346
0.42,1310
0.72,2530
0.5,2052
1.15,5005
1.25,5740
0.28,487
0.76,3447
0.31,557
0.33,1002
1.36,7157
1.01,4707
0.51,1428
0.41,904
1.01,4496
0.42,896
0.5,1710
0.32,561
1.25,6783
2.03,14646
0.74,2398
0.32,657
1.01,3014
0.35,778
1.09,4113
0.29,669
0.71,2694
0.33,965
0.31,734
1.04,2970
0.3,574
0.56,1662
0.62,1624
0.24,504
0.32,589
1,3631
1.31,8583
0.52,1600
0.33,743
0.4,898
0.74,3804
0.73,2803
0.58,1671
1,9724
1.01,6968
1.19,10079
0.3,639
0.51,2177
0.52,2111
0.75,2588
0.51,1787
0.3,886
0.33,1052
1.52,9030
1.48,8196
0.33,666
0.92,3675
0.31,837
1.5,10139
1.6,8709
0.5,1635
1.02,5266
0.55,1980
0.73,2846
0.9,4232
0.44,990
0.24,373
1.12,7727
1.5,14105
0.51,1590
1.34,6814
0.7,2034
0.32,602
1.58,7592
1.46,8855
1.11,6713
0.51,1974
0.73,2760
0.71,2368
0.31,698
1,6115
1.51,13828
0.9,3385
0.9,4183
0.38,905
1.51,8951
0.24,449
0.41,863
1.01,5656
0.52,1320
0.59,1195
1.04,4472
0.56,1777
0.32,828
0.43,731
0.8,2975
0.58,1953
1.1,5174
0.29,555
0.33,781
0.54,1410
0.31,395
0.24,552
1.51,10215
1.03,4406
1.41,11644
0.31,897
0.57,1918
0.42,958
1.51,6680
1.27,8543
1.01,3948
0.3,776
0.55,2473
0.4,1252
0.74,2398
0.31,816
2.31,17715
0.52,1577
0.79,2945
0.59,2829
1.09,5922
1.08,4318
1.6,16300
0.31,418
0.3,475
0.32,828
0.71,1922
0.57,1655
0.4,1323
0.32,867
1.06,8093
0.92,3916
1.5,14386
0.31,874
0.35,788
1,3763
0.7,2048
0.52,1451
1.11,12956
1.01,4672
1.52,11176
0.93,3420
0.59,1883
0.33,743
0.32,796
0.54,1317
0.33,1002
0.42,773
0.5,1746
1.51,9069
1.01,5784
0.31,628
1.22,8733
0.39,679
0.58,1626
0.3,704
0.31,734
1.11,6512
0.39,1154
0.53,2045
1.7,17597
0.33,955
1.01,3309
0.77,3234
0.79,2853
0.32,756
0.75,3817
0.28,586
0.96,2867
0.57,1292
0.7,1840
1.29,6321
0.62,2161
2.01,17179
0.54,1754
0.62,1426
1.12,4955
1.02,4727
1.35,14616
1.57,11976
0.63,2789
0.28,514
1.11,5962
0.72,2311
1.28,4967
0.32,917
0.41,1187
0.42,966
1.03,4764
1.01,4751
1.21,5989
0.92,3586
1.08,7079
1.11,8698
0.83,2241
2.26,16904
1,9248
1.54,15178
0.32,645
0.31,418
0.72,2757
1.07,6998
0.53,1585
1.24,7701
0.3,491
1.51,7577
1.53,11820
0.35,1024
0.71,2633
0.33,579
0.48,1590
0.7,1138
0.71,3135
0.7,2512
1.73,11843
0.37,936
1.21,8691
0.53,1721
0.7,3016
1.04,4890
1.05,3816
0.3,862
1.2,9442
0.71,2198
0.5,1792
0.37,768
0.51,1871
1.01,5147
1.83,13254
0.51,2323
0.32,825
1.14,6194
0.52,1677
0.42,898
0.33,984
1.01,4004
0.7,2352
0.54,1564
0.61,2763
1.2,6547
0.54,1147
0.41,1061
0.44,1245
0.74,3357
2.01,15965
0.57,1851
0.34,745
0.57,2719
1.52,11272
0.7,2677
0.31,671
1.01,7127
0.53,1284
0.7,2437
0.57,1292
0.31,544
1,3304
0.73,2346
1.09,4244
0.72,2857
0.8,4043
0.33,668
0.5,1624
0.74,1865
0.38,1257
0.77,1807
0.72,3145
1.17,8806
0.3,545
0.3,1013
1.42,11861
0.91,6652
1.6,9376
0.74,3812
0.55,1011
0.38,694
0.9,2861
1.02,4912
2.02,13554
0.3,844
0.42,1142
0.43,760
0.39,1000
1.21,4337
0.73,2581
1.77,8257
0.54,1639
0.53,2340
0.26,554
0.32,1067
0.32,461
0.58,2082
1.01,6826
0.3,868
0.56,1580
0.5,1935
1.11,7758
0.55,1692
1.01,5515
1.52,12958
0.39,709
0.51,2742
1.37,7319
0.38,809
1.07,5220
0.51,1569
0.9,5068
0.61,1706
1.01,4106
2,16068
0.34,555
0.31,877
0.39,1004
0.56,1677
0.55,1313
0.53,1893
0.3,844
1.2,10497
0.7,2773
0.7,2390
0.5,1675
0.83,2614
0.3,608
0.7,3018
0.51,1882
0.9,3382
0.9,3187
0.7,3145
0.3,766
2,16092
1.2,4603
0.38,529
0.8,2484
1.58,11786
1.04,6177
1,5806
1,9901
0.96,2304
1.59,15249
0.7,2676
0.4,1323
0.41,683
0.96,3215
0.51,1438
0.27,480
0.9,3800
1.03,4177
1.05,4692
0.33,1002
0.41,791
1,8448
0.9,3484
0.38,1140
0.31,462
1.02,4162
1.23,5600
2.01,12407
0.3,844
0.32,696
1.16,10082
0.51,1080
0.34,537
0.42,773
0.93,5992
0.3,526
1.39,7311
1.61,13553
0.55,1175
1.28,6726
0.53,1857
0.52,1689
0.41,1243
0.38,882
0.52,1758
0.72,3610
1.09,5384
1.5,13377
0.7,3073
0.83,2159
1.26,6874
0.41,1061
0.43,795
2.29,13726
1.23,9193
0.9,3371
0.91,3855
1.01,11923
1.02,7118
0.51,1359
2.01,10671
0.73,2599
0.35,788
0.33,928
2.01,15145
1.7,17073
0.4,1333
0.73,2605
0.33,1129
0.32,602
0.4,1053
1.05,5200
0.31,816
0.3,593
1.5,12014
1.06,4459
1.59,8681
2.09,18472
0.53,1781
1.51,9467
1.07,6355
0.5,1710
1.54,10758
0.32,561
0.3,742
1.17,7568
0.31,891
0.25,395
0.43,1129
0.31,914
1.36,5103
1,5286
0.92,3723
0.85,3924
0.53,1707
1.57,12098
0.4,1043
0.36,832
1.51,6393
2.05,18017
0.41,1061
0.75,2501
0.91,4191
0.52,1689
0.62,2406
1.1,11550
0.71,2743
0.82,3622
0.72,2340
0.54,2090
1.31,7459
1.11,6737
0.33,1002
1.21,5604
0.32,523
0.26,468
0.9,4091
0.33,579
0.3,608
0.7,1995
0.73,2377
1.06,4452
1.17,5837
0.4,644
1.02,5044
1,4435
1.19,7397
0.31,544
0.31,802
1.58,14308
0.32,936
1.5,7644
0.33,803
0.51,1554
0.5,925
1.15,5191
0.41,755
0.34,540
1.06,5713
1.21,9954
1,4065
0.83,1863
0.72,2298
1.5,6745
1.03,8385
0.52,1919
1.54,6375
0.26,546
0.31,879
0.7,2367
0.32,828
0.5,1624
0.35,583
0.8,4740
0.53,1880
0.69,1636
1.06,6667
1.01,9451
1.21,5746
1.01,5662
2.04,17323
1.01,7332
2.31,15323
0.51,1787
0.52,978
1.01,7303
0.8,2227
1.08,8481
0.71,2049
0.37,493
1.03,7648
1.01,5988
0.3,949
0.9,3508
1.17,3833
0.3,526
1.01,3461
0.7,2774
1.55,7638
0.81,2444
0.32,917
0.41,717
1.21,14841
0.38,969
0.72,2548
0.93,2647
0.92,4037
0.92,4232
0.42,1103
1.15,5257
0.31,734
0.51,1656
0.47,1400
0.32,561
0.41,876
0.72,2607
0.38,970
0.36,735
0.8,3173
1.06,5550
1.21,4669
0.43,1093
0.31,452
1.08,4098
0.7,2389
0.73,2434
0.72,3459
0.93,4218
0.44,1073
1.64,12779
0.37,749
0.4,1125
0.32,708
1.01,6759
1.06,3847
0.9,4032
1.01,5538
0.4,877
0.31,489
0.43,984
0.35,1011
0.74,3616
1.18,5182
1.06,3391
0.3,473
0.52,1577
0.5,1090
0.32,1080
1.02,4476
1.25,8901
0.91,2491
0.79,3798
0.3,605
0.23,357
1.31,5176
1.19,6078
1.08,4742
0.31,871
1.01,5701
0.85,3118
0.32,589
0.51,1633
0.74,3401
1.5,13428
0.5,1569
0.32,730
0.31,942
0.31,544
0.27,470
1.54,11107
0.83,4592
2,12342
0.26,545
0.72,2970
1.34,6010
0.52,1452
0.76,3306
1.74,18430
1.31,6089
0.71,2494
0.5,1125
0.55,1796
0.71,2594
1.5,5208
1.35,4423
0.3,764
1.34,7438
1.29,4277
0.71,2052
0.3,675
1.21,4637
0.61,2076
0.76,3183
1.51,14750
0.44,883
1.5,11088
0.71,3217
1.88,9791
0.41,1259
0.51,1121
0.32,730
1.22,9475
0.38,585
1,4265
0.38,639
2.02,13453
0.56,2066
0.42,1210
1.04,6122
0.7,2536
1.01,5378
0.53,1262
2.01,16733
0.56,1915
0.31,749
0.7,2192
0.44,849
1.04,6278
0.5,1766
0.51,1354
1.73,13250
0.31,924
1.01,5497
1.02,3842
0.72,3122
1.02,4414
0.37,957
1.28,6762
0.3,658
0.51,1574
0.63,2373
1.06,7193
0.33,456
0.9,3750
0.72,2359
0.32,702
1.2,6435
1.15,3735
0.71,3290
0.41,1076
1.13,8709
0.92,3489
0.3,911
0.7,2142
0.71,2891
0.45,1066
1.02,4061
0.7,2444
0.24,492
0.51,1852
0.7,3359
0.31,1214
0.78,2874
1.23,4408
1.04,4375
1.03,7391
0.7,2515
0.35,906
0.51,1752
0.32,915
0.75,3024
1.19,7037
1.38,5796
0.7,2437
0.39,939
0.32,702
0.5,982
1.15,12447
0.91,4816
1.02,6432
0.31,625
0.28,828
1,3991
0.41,830
1.59,9094
0.73,1905
1.03,6645
0.82,3008
0.5,1801
1.01,3999
1.02,2611
0.38,590
1.51,10090
0.5,1624
0.51,1767
1.2,8928
1.2,6727
0.31,791
1.09,3662
1.2,6581
0.41,847
0.39,1232
0.32,477
1.21,8402
0.32,648
0.3,776
1.45,6455
1.12,4572
0.51,1669
0.31,766
1.77,9664
1.56,11901
1.04,5882
0.4,792
0.3,394
0.55,1449
1.29,17932
0.28,504
0.57,1800
1.51,7400
0.55,1348
0.3,709
1.2,6703
0.7,2528
1.03,4839
1,4704
0.27,470
0.53,973
0.34,663
1.21,7002
0.34,596
0.32,612
1.4,15134
0.5,1712
0.58,2071
0.31,879
0.38,635
0.7,1808
1.27,7849
0.35,591
0.3,848
0.59,1789
0.41,1243
0.5,1214
0.72,2114
1.01,4166
0.31,435
0.5,1723
1,4788
0.41,1295
0.46,990
0.9,4921
1.17,7155
0.71,2326
0.5,1629
1.02,3927
0.71,2318
0.38,871
0.34,956
0.9,2982
1.62,14826
1.08,6961
1.47,7438
0.71,1816
1.02,5398
0.41,863
1,7056
0.7,2656
0.43,919
1.9,9540
1.04,5495
0.42,1400
0.32,421
1.2,6468
0.72,4047
0.65,1708
0.91,3911
1.5,11385
0.75,2586
1.03,5364
0.43,1056
1.52,7504
0.7,3001
1.69,17400
1.2,11301
0.33,752
1.01,6777
1,4032
0.33,614
0.51,2310
0.34,650
1.5,11533
0.72,2498
1.96,5554
1.59,11437
1.01,4239
0.89,2728
1.05,4560
0.6,3570
1.17,4826
0.4,1053
0.54,1563
1.01,4588
1.23,8293
0.34,745
1,3265
0.32,814
0.72,2416
0.41,827
0.52,1235
1.03,4586
0.58,1666
1.02,3980
1.28,11419
0.51,2317
0.31,408
0.31,680
0.71,2803
0.7,2355
0.42,984
0.43,891
2,10528
1.58,9176
0.24,552
0.3,776
1,3799
0.79,2839
1.06,4333
0.57,1258
1.28,5161
